"ccaa_id","name","unemp_rate"
"01","Andalucía",18.68
"02","Aragón",8.96
"03","Principado de Asturias",11.36
"04","Islas Baleares",9.29
"05","Islas Canarias",17.76
"06","Cantabria",8.17
"07","Castilla y León",10.19
"08","Castilla-La Mancha",14.11
"09","Cataluña",9.29
"10","Comunidad Valenciana",12.81
"11","Extremadura",16.73
"12","Galicia",11.2
"13","Comunidad de Madrid",10.18
"14","Región de Murcia",12.18
"15","Comunidad Foral de Navarra",8.76
"16","País Vasco",8.75
"17","La Rioja",10.19
"18","Ceuta y Melilla",23.71
